SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR11,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9
Mode,,,,,,test,test,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,nan,-1,-1,nan,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,nan,1,1,nan,1,1,1,1,1,1,1
12345678,Fail,no error,2017-07-17 09:17:51,2017-07-17 09:17:54,2.71,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-17 09:29:01,2017-07-17 09:29:02,1.1,nan,0.5,2,10,3.0,0.5
12345678,Fail,no error,2017-07-17 09:29:11,2017-07-17 09:29:13,2.0,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5
12345678,Fail,no error,2017-07-17 09:30:50,2017-07-17 09:30:51,1.1,nan,0.5,2,10,3.0,0.5
12345678,Fail,no error,2017-07-17 09:32:48,2017-07-17 09:32:50,2.51,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-07-17 09:44:58,2017-07-17 09:45:00,2.0100000000000002,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5
12345678,Fail,no error,2017-07-17 09:47:02,2017-07-17 09:47:08,2.7,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Break,no error,2017-07-17 09:47:10,2017-07-17 09:47:11,1.3,nan,0.5,2,10,3.0,0.5,0.5
12345678,Break,no error,2017-07-17 09:52:39,2017-07-17 09:52:40,1.11,nan,0.5,2,10,3.0,0.5
12345678,Break,no error,2017-07-17 09:52:42,2017-07-17 09:52:44,2.01,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5
12345678,Fail,no error,2017-07-17 09:53:15,2017-07-17 09:53:18,2.7,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
