SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR11,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9
Mode,,,,,,test,test,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,-1,-1,-1,nan,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,1,1,1,nan,1,1,1,1,1,1,1
12345678,Fail,no error,2017-06-29 11:00:48,2017-06-29 11:00:51,2.7100000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 11:42:16,2017-06-29 11:42:25,2.71,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:18:08,2017-06-29 15:18:11,2.7199999999999998,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:28:58,2017-06-29 15:29:00,2.71,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:30:25,2017-06-29 15:30:28,2.7,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:32:52,2017-06-29 15:32:55,2.7300000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:32:59,2017-06-29 15:33:02,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:33:02,2017-06-29 15:33:05,2.73,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:33:18,2017-06-29 15:33:21,2.7100000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:33:35,2017-06-29 15:33:38,2.73,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:33:38,2017-06-29 15:33:41,2.7,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:45:37,2017-06-29 15:45:40,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:47:47,2017-06-29 15:47:49,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:48:09,2017-06-29 15:48:11,2.71,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:48:42,2017-06-29 15:48:44,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 15:48:46,2017-06-29 15:48:49,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 16:00:30,2017-06-29 16:00:33,2.7100000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 16:03:39,2017-06-29 16:03:42,2.7199999999999998,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 16:03:45,2017-06-29 16:03:48,2.7100000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 16:03:51,2017-06-29 16:03:54,2.72,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-06-29 16:03:59,2017-06-29 16:04:02,2.7,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
