SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST,MTCP:POST,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9,function10,function11
Mode,,,,,,test,test,test,skip,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
12345678,Pass,no error,2017-06-29 11:00:48,2017-06-29 11:00:51,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 11:42:16,2017-06-29 11:42:26,3.43,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:18:08,2017-06-29 15:18:11,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:28:58,2017-06-29 15:29:01,3.4200000000000004,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:30:25,2017-06-29 15:30:28,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:32:52,2017-06-29 15:32:56,3.4200000000000004,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:32:59,2017-06-29 15:33:02,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:33:02,2017-06-29 15:33:06,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:33:18,2017-06-29 15:33:22,3.4200000000000004,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:33:35,2017-06-29 15:33:38,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:45:37,2017-06-29 15:45:41,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:47:47,2017-06-29 15:47:50,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:48:09,2017-06-29 15:48:12,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:48:42,2017-06-29 15:48:45,3.43,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 15:48:46,2017-06-29 15:48:49,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 16:00:30,2017-06-29 16:00:34,3.4200000000000004,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 16:03:39,2017-06-29 16:03:43,3.43,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 16:03:45,2017-06-29 16:03:48,3.4199999999999995,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 16:03:51,2017-06-29 16:03:54,3.43,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-06-29 16:03:59,2017-06-29 16:04:03,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
