SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR11,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9
Mode,,,,,,test,test,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,nan,-1,-1,nan,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,nan,1,1,nan,4,1,1,1,1,1,1
12345678,Fail,no error,2017-07-21 09:30:56,2017-07-21 09:31:01,2.41,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-21 09:34:42,2017-07-21 09:34:45,2.42,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-21 09:34:47,2017-07-21 09:34:50,2.41,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-21 10:17:37,2017-07-21 10:17:39,2.4000000000000004,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-21 10:17:59,2017-07-21 10:18:02,2.42,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Fail,no error,2017-07-21 10:34:01,2017-07-21 10:34:05,4.2,nan,0.5,2,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Pass,no error,2017-07-21 10:34:46,2017-07-21 10:34:50,4.21,nan,0.5,0.1,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Pass,no error,2017-07-21 10:35:10,2017-07-21 10:35:15,4.23,nan,0.5,0.1,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
12345678,Pass,no error,2017-07-21 10:35:52,2017-07-21 10:35:54,2.3000000000000007,nan,0.5,0.1,10,3.0,0.5,0.5,0.5,0.5,0.9,0.9
