SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST,MTCP:POST,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9,function10,function11
Mode,,,,,,test,test,test,skip,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,nan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,nan,1,1,1,1,1,1,1,1,1,1,1,1
12345678,Pass,no error,2017-07-03 11:50:54,2017-07-03 11:50:57,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-03 12:11:44,2017-07-03 12:11:48,3.4200000000000004,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-03 12:22:53,2017-07-03 12:22:56,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-03 15:01:35,2017-07-03 15:01:38,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-03 15:18:45,2017-07-03 15:18:48,3.44,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-03 15:22:40,2017-07-03 15:22:43,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
